location,Latitude,Longitude,Dutch_caption,filename
"Souk el Attarine, Tunis, Tunisie",36.7977893,10.1722694,Arcade met zittende figuren in de parfumsouk van Tunis,Arcade met zittende figuren in de parfumsouk van Tunis.jpg
"Bardo Palace, Tunis, Tunisia",36.8131611,10.1451614,Doorkijk naar de kamer van de sultan in het Bardopaleis in Tunis,Doorkijk naar de kamer van de sultan in het Bardopaleis in Tunis.jpg
"Church of White Fathers, Carthage, Tunisia",36.8674927,10.3338423,Exterieur van de kloosterkerk van de Witte Paters in Carthago,Exterieur van de kloosterkerk van de Witte Paters in Carthago.jpg
"Bardo Palace, Tunis, Tunisia",36.8131611,10.1451614,Exterieur van het Bardopaleis in Tunis,Exterieur van het Bardopaleis in Tunis.jpg
"Bardo Palace, Tunis, Tunisia",36.8131611,10.1451614,Exterieur van het Bardopaleis in Tunis2,Exterieur van het Bardopaleis in Tunis2.jpg
"Bab al Bahr, Tunis, Tunisia",36.7991576,10.1756002,"Gezicht op de Avenue de France in Tunis met stadspoort, winkels en voorbijgangers op 14 juli","Gezicht op de Avenue de France in Tunis met stadspoort, winkels en voorbijgangers op 14 juli.jpg"
"Byrsa acropolis, Carthage, Tunisia",36.8525,10.3227778,Gezicht op de ruïnes van de Tempel van Ceres in Carthago,Gezicht op de ruïnes van de Tempel van Ceres in Carthago.jpg
"Vieux port, Lac de Tunis, Tunisia",36.798894,10.1919245,Gezicht op het meer en het haventerrein van Tunis,Gezicht op het meer en het haventerrein van Tunis.jpg
"Monument Place de la Kasbah, Tunis, Tunisia",36.79786657,10.16729863,Gezicht op Place de la Kasbah in Tunis,Gezicht op Place de la Kasbah in Tunis.jpg
"Sidi Mahrez Mosque, Tunis, Tunisia",36.8042039,10.1684874,Gezicht op Tunis met op de achergrond de koepels van de Sidi Mahrez moskee,Gezicht op Tunis met op de achergrond de koepels van de Sidi Mahrez moskee.jpg
"Qasba, Tunis, Tunisia",36.7988582,10.1657737,Gezicht op Tunis vanuit de kasba,Gezicht op Tunis vanuit de kasba.jpg
"La Medina, Tunis, Tunisie",36.798013,10.1717264,Klanten bij een winkel in de souk van Tunis,Klanten bij een winkel in de souk van Tunis.jpg
"Le Marché Central de Tunis, Tunis, Tunisia",36.7975044,10.1774195,Plein met markthallen en publiek in Tunis,Plein met markthallen en publiek in Tunis.jpg
"rue Des Libraires, Tunis, Tunisia",36.8008918,10.1797504,Straat met boekwinkels en boekhandelaren in Tunis,Straat met boekwinkels en boekhandelaren in Tunis.jpg
"place de l'Independance, Tunis, Tunisia",36.7996905,10.1794862,Straatgezicht in Tunis op 14 juli ,Straatgezicht in Tunis op 14 juli .jpg
"rue Andalouse, Tunis, Tunisia",36.8380944,10.3207042,Twee pratende mannen in de Rue Andalouse in Tunis,Twee pratende mannen in de Rue Andalouse in Tunis.jpg
"Bardo National Museum, Tunis, Tunisia ",36.8094589,10.1340362,Zuilenzaal in de harem van het Bardopaleis in Tunis,Zuilenzaal in de harem van het Bardopaleis in Tunis.jpg